sha,title,chunker,n_total,n_sampled,sampled_frac
04a644830f,2023%20Final%20Revisions%20Rule,fixed,72,20,0.278
04a644830f,2023%20Final%20Revisions%20Rule,layout_aware,95,20,0.211
04a644830f,2023%20Final%20Revisions%20Rule,pac,69,20,0.290
04a644830f,2023%20Final%20Revisions%20Rule,recursive,82,20,0.244
04a644830f,2023%20Final%20Revisions%20Rule,semantic,79,20,0.253
0b453920a3,Otm 50 Release 1,fixed,63,20,0.317
0b453920a3,Otm 50 Release 1,layout_aware,89,20,0.225
0b453920a3,Otm 50 Release 1,pac,36,20,0.556
0b453920a3,Otm 50 Release 1,recursive,60,20,0.333
0b453920a3,Otm 50 Release 1,semantic,73,20,0.274
146105dc37,USEPA: FEM: Validation and Peer Review of U.S. Env,fixed,35,20,0.571
146105dc37,USEPA: FEM: Validation and Peer Review of U.S. Env,layout_aware,40,20,0.500
146105dc37,USEPA: FEM: Validation and Peer Review of U.S. Env,pac,22,20,0.909
146105dc37,USEPA: FEM: Validation and Peer Review of U.S. Env,recursive,43,20,0.465
146105dc37,USEPA: FEM: Validation and Peer Review of U.S. Env,semantic,36,20,0.556
1e8543bf95,"IP 69009, ""Class I Research and Test Reactor Fuel ",fixed,10,10,1.000
1e8543bf95,"IP 69009, ""Class I Research and Test Reactor Fuel ",layout_aware,11,11,1.000
1e8543bf95,"IP 69009, ""Class I Research and Test Reactor Fuel ",pac,6,6,1.000
1e8543bf95,"IP 69009, ""Class I Research and Test Reactor Fuel ",recursive,10,10,1.000
1e8543bf95,"IP 69009, ""Class I Research and Test Reactor Fuel ",semantic,10,10,1.000
2284b89219,"IP 69005, ""Class I Research and Test Reactor Exper",fixed,12,12,1.000
2284b89219,"IP 69005, ""Class I Research and Test Reactor Exper",layout_aware,12,12,1.000
2284b89219,"IP 69005, ""Class I Research and Test Reactor Exper",pac,6,6,1.000
2284b89219,"IP 69005, ""Class I Research and Test Reactor Exper",recursive,11,11,1.000
2284b89219,"IP 69005, ""Class I Research and Test Reactor Exper",semantic,14,14,1.000
247bb79066,ADM 03-00-008 OSHA Clearance Process for Non-Polic,fixed,38,20,0.526
247bb79066,ADM 03-00-008 OSHA Clearance Process for Non-Polic,layout_aware,43,20,0.465
247bb79066,ADM 03-00-008 OSHA Clearance Process for Non-Polic,pac,45,20,0.444
247bb79066,ADM 03-00-008 OSHA Clearance Process for Non-Polic,recursive,48,20,0.417
247bb79066,ADM 03-00-008 OSHA Clearance Process for Non-Polic,semantic,44,20,0.455
2d1fa86526,US EPA: OSA: Validation and Peer Review of U.S. En,fixed,31,20,0.645
2d1fa86526,US EPA: OSA: Validation and Peer Review of U.S. En,layout_aware,36,20,0.556
2d1fa86526,US EPA: OSA: Validation and Peer Review of U.S. En,pac,17,17,1.000
2d1fa86526,US EPA: OSA: Validation and Peer Review of U.S. En,recursive,31,20,0.645
2d1fa86526,US EPA: OSA: Validation and Peer Review of U.S. En,semantic,32,20,0.625
3b789378bd,Biosafety in Microbiological and Biomedical Labora,fixed,826,20,0.024
3b789378bd,Biosafety in Microbiological and Biomedical Labora,layout_aware,964,20,0.021
3b789378bd,Biosafety in Microbiological and Biomedical Labora,pac,672,20,0.030
3b789378bd,Biosafety in Microbiological and Biomedical Labora,recursive,826,20,0.024
3b789378bd,Biosafety in Microbiological and Biomedical Labora,semantic,1002,20,0.020
41f79bcd69,SRM-COMSECY-20-0012: Enclosure 1 - Memorandum of U,fixed,10,10,1.000
41f79bcd69,SRM-COMSECY-20-0012: Enclosure 1 - Memorandum of U,layout_aware,10,10,1.000
41f79bcd69,SRM-COMSECY-20-0012: Enclosure 1 - Memorandum of U,pac,5,5,1.000
41f79bcd69,SRM-COMSECY-20-0012: Enclosure 1 - Memorandum of U,recursive,10,10,1.000
41f79bcd69,SRM-COMSECY-20-0012: Enclosure 1 - Memorandum of U,semantic,10,10,1.000
4f3770cda3,US EPA: FEM: Validation and Peer Review of U.S. En,fixed,30,20,0.667
4f3770cda3,US EPA: FEM: Validation and Peer Review of U.S. En,layout_aware,34,20,0.588
4f3770cda3,US EPA: FEM: Validation and Peer Review of U.S. En,pac,21,20,0.952
4f3770cda3,US EPA: FEM: Validation and Peer Review of U.S. En,recursive,33,20,0.606
4f3770cda3,US EPA: FEM: Validation and Peer Review of U.S. En,semantic,30,20,0.667
5ccee9415f,Method Validation of U.S. EPA Microbiological Meth,fixed,127,20,0.157
5ccee9415f,Method Validation of U.S. EPA Microbiological Meth,layout_aware,154,20,0.130
5ccee9415f,Method Validation of U.S. EPA Microbiological Meth,pac,91,20,0.220
5ccee9415f,Method Validation of U.S. EPA Microbiological Meth,recursive,149,20,0.134
5ccee9415f,Method Validation of U.S. EPA Microbiological Meth,semantic,141,20,0.142
5fb34d2ba3,CATEGORY:  General Administration,fixed,10,10,1.000
5fb34d2ba3,CATEGORY:  General Administration,layout_aware,10,10,1.000
5fb34d2ba3,CATEGORY:  General Administration,pac,8,8,1.000
5fb34d2ba3,CATEGORY:  General Administration,recursive,10,10,1.000
5fb34d2ba3,CATEGORY:  General Administration,semantic,11,11,1.000
6a7b67ee11,"IP 69012, ""Class I Research and Test Reactors Radi",fixed,16,16,1.000
6a7b67ee11,"IP 69012, ""Class I Research and Test Reactors Radi",layout_aware,18,18,1.000
6a7b67ee11,"IP 69012, ""Class I Research and Test Reactors Radi",pac,9,9,1.000
6a7b67ee11,"IP 69012, ""Class I Research and Test Reactors Radi",recursive,17,17,1.000
6a7b67ee11,"IP 69012, ""Class I Research and Test Reactors Radi",semantic,19,19,1.000
75c807b2d3,Frl5937 02 Oar Method%2023%20Final 20230221 Admin,fixed,160,20,0.125
75c807b2d3,Frl5937 02 Oar Method%2023%20Final 20230221 Admin,layout_aware,203,20,0.099
75c807b2d3,Frl5937 02 Oar Method%2023%20Final 20230221 Admin,pac,111,20,0.180
75c807b2d3,Frl5937 02 Oar Method%2023%20Final 20230221 Admin,recursive,200,20,0.100
75c807b2d3,Frl5937 02 Oar Method%2023%20Final 20230221 Admin,semantic,198,20,0.101
82fccf27ff,Food Service Guidelines in CDC-Owned or -Operated ,fixed,11,11,1.000
82fccf27ff,Food Service Guidelines in CDC-Owned or -Operated ,layout_aware,12,12,1.000
82fccf27ff,Food Service Guidelines in CDC-Owned or -Operated ,pac,9,9,1.000
82fccf27ff,Food Service Guidelines in CDC-Owned or -Operated ,recursive,14,14,1.000
82fccf27ff,Food Service Guidelines in CDC-Owned or -Operated ,semantic,11,11,1.000
835552e395,Administration of Gifts (Policy 20170329),fixed,35,20,0.571
835552e395,Administration of Gifts (Policy 20170329),layout_aware,35,20,0.571
835552e395,Administration of Gifts (Policy 20170329),pac,31,20,0.645
835552e395,Administration of Gifts (Policy 20170329),recursive,34,20,0.588
835552e395,Administration of Gifts (Policy 20170329),semantic,37,20,0.541
88bd6627c3,NCEZID_Top 10 Accomplishments,fixed,25,20,0.800
88bd6627c3,NCEZID_Top 10 Accomplishments,layout_aware,163,20,0.123
88bd6627c3,NCEZID_Top 10 Accomplishments,pac,15,15,1.000
88bd6627c3,NCEZID_Top 10 Accomplishments,recursive,24,20,0.833
88bd6627c3,NCEZID_Top 10 Accomplishments,semantic,28,20,0.714
8a79c085f2,"NUREG-2173, Rev. 1 - Tribal Protocol Manual - July",fixed,80,20,0.250
8a79c085f2,"NUREG-2173, Rev. 1 - Tribal Protocol Manual - July",layout_aware,128,20,0.156
8a79c085f2,"NUREG-2173, Rev. 1 - Tribal Protocol Manual - July",pac,75,20,0.267
8a79c085f2,"NUREG-2173, Rev. 1 - Tribal Protocol Manual - July",recursive,84,20,0.238
8a79c085f2,"NUREG-2173, Rev. 1 - Tribal Protocol Manual - July",semantic,77,20,0.260
90ccf55f92,D:\EMCNEW\PROPOSED\PS-10.PDF,fixed,13,13,1.000
90ccf55f92,D:\EMCNEW\PROPOSED\PS-10.PDF,layout_aware,11,11,1.000
90ccf55f92,D:\EMCNEW\PROPOSED\PS-10.PDF,pac,12,12,1.000
90ccf55f92,D:\EMCNEW\PROPOSED\PS-10.PDF,recursive,12,12,1.000
90ccf55f92,D:\EMCNEW\PROPOSED\PS-10.PDF,semantic,20,20,1.000
a9fa7483da,Training Requirements in OSHA Standards,fixed,313,20,0.064
a9fa7483da,Training Requirements in OSHA Standards,layout_aware,341,20,0.059
a9fa7483da,Training Requirements in OSHA Standards,pac,314,20,0.064
a9fa7483da,Training Requirements in OSHA Standards,recursive,297,20,0.067
a9fa7483da,Training Requirements in OSHA Standards,semantic,353,20,0.057
aa91dbe564,Epa Sab 22 001,fixed,178,20,0.112
aa91dbe564,Epa Sab 22 001,layout_aware,182,20,0.110
aa91dbe564,Epa Sab 22 001,pac,116,20,0.172
aa91dbe564,Epa Sab 22 001,recursive,243,20,0.082
aa91dbe564,Epa Sab 22 001,semantic,169,20,0.118
b8f46c5ffc,Draft METHOD 327 - Fugitive and Area Source Measur,fixed,69,20,0.290
b8f46c5ffc,Draft METHOD 327 - Fugitive and Area Source Measur,layout_aware,81,20,0.247
b8f46c5ffc,Draft METHOD 327 - Fugitive and Area Source Measur,pac,46,20,0.435
b8f46c5ffc,Draft METHOD 327 - Fugitive and Area Source Measur,recursive,115,20,0.174
b8f46c5ffc,Draft METHOD 327 - Fugitive and Area Source Measur,semantic,81,20,0.247
bd6dd13a31,Method320 Forweb 1,fixed,57,20,0.351
bd6dd13a31,Method320 Forweb 1,layout_aware,86,20,0.233
bd6dd13a31,Method320 Forweb 1,pac,44,20,0.455
bd6dd13a31,Method320 Forweb 1,recursive,62,20,0.323
bd6dd13a31,Method320 Forweb 1,semantic,63,20,0.317
c0b6acb173,Securing Approval for Sponsorship of Conferences,fixed,15,15,1.000
c0b6acb173,Securing Approval for Sponsorship of Conferences,layout_aware,14,14,1.000
c0b6acb173,Securing Approval for Sponsorship of Conferences,pac,15,15,1.000
c0b6acb173,Securing Approval for Sponsorship of Conferences,recursive,14,14,1.000
c0b6acb173,Securing Approval for Sponsorship of Conferences,semantic,16,16,1.000
e5da4ad795,Validation of U.S. Environmental Protection Agency,fixed,58,20,0.345
e5da4ad795,Validation of U.S. Environmental Protection Agency,layout_aware,60,20,0.333
e5da4ad795,Validation of U.S. Environmental Protection Agency,pac,36,20,0.556
e5da4ad795,Validation of U.S. Environmental Protection Agency,recursive,71,20,0.282
e5da4ad795,Validation of U.S. Environmental Protection Agency,semantic,63,20,0.317
f7d91ded58,"OSHA Technical Manual - Section IV, Chapter 6, Com",fixed,141,20,0.142
f7d91ded58,"OSHA Technical Manual - Section IV, Chapter 6, Com",layout_aware,150,20,0.133
f7d91ded58,"OSHA Technical Manual - Section IV, Chapter 6, Com",pac,112,20,0.179
f7d91ded58,"OSHA Technical Manual - Section IV, Chapter 6, Com",recursive,171,20,0.117
f7d91ded58,"OSHA Technical Manual - Section IV, Chapter 6, Com",semantic,131,20,0.153
